,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
268,ukb-b-1998,Number of unenthusiastic/disinterested episodes,38371,9851867,2018,MRC-IEU,Ben Elsworth,5386: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
274,ebi-a-GCST004600,Eosinophil percentage of white cells,172378,29167233,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
278,ukb-a-559,Diagnoses - main ICD10: K80 Cholelithiasis,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,6986,330213,NA
281,ukb-b-4007,Croissant intake,64943,9851867,2018,MRC-IEU,Ben Elsworth,102050: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
289,ukb-b-7205,Operative procedures - main OPCS: M14.1 Extracorporeal shock wave lithotripsy of calculus of kidney,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#M141: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1296,461714,NA
291,ukb-d-S61,Diagnoses - main ICD10: S61 Open wound of wrist and hand,361194,10351001,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1865,359329,NA
298,ukb-b-2035,Scotch pancake intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,102020: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
309,ebi-a-GCST003766,Subjective well-being,298420,2058391,2016,NA,Okbay A,NA,public,1,NA,27089181,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
312,ukb-b-14351,Grapefruit juice intake,64943,9851867,2018,MRC-IEU,Ben Elsworth,100200: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
313,ukb-a-375,Number of depression episodes,42378,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
317,ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#I10: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,54358,408652,NA
319,ukb-d-20530,Witnessed sudden violent death,117862,13571654,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,15959,101903,NA
322,ieu-a-1056,Heart rate,92355,2516790,2013,HRgene consortium,den Hoed M,92% European,public,1,Males and Females,23583979,1,Mixed,beats per minute,HG19/GRCh37,Risk factor,Hemodynamic,NA,NA,NA,NA
327,ebi-a-GCST004618,White blood cell count (basophil),171846,29167796,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
330,ebi-a-GCST007557,Birth weight,133903,16066537,2016,NA,Horikoshi M,NA,public,1,NA,27680694,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
336,ukb-a-44,Townsend deprivation index at recruitment,336798,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
342,ukb-d-22617_4213,Job SOC coding: School secretaries,91149,9654172,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1242,89907,NA
346,ukb-b-2769,Operative procedures - main OPCS: Q11.3 Evacuation of products of conception from uterus NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#Q113: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1408,461602,NA
347,ukb-b-18062,Treatment/medication code: lipitor 10mg tablet,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1141146138: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3349,459584,NA
348,ukb-b-5559,Methods of admission to hospital (recoded): Transfer: Planned,462399,9851867,2018,MRC-IEU,Ben Elsworth,41249#5001: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4760,457639,NA
357,ukb-b-12725,Treatment/medication code: salmeterol,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140862144: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1211,461722,NA
376,ukb-d-1418_6,Milk type used: Never/rarely have milk,360806,13512195,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,11587,349219,NA
385,ukb-b-17406,Retinol,62991,9851867,2018,MRC-IEU,Ben Elsworth,100018: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
387,ukb-b-4964,Other bread intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,101270: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
388,ukb-b-8539,Operative procedures - main OPCS: W15.3 Osteotomy of first metatarsal bone NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#W153: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1137,461873,NA
394,ukb-b-14416,Diagnoses - main ICD10: I84.1 Internal haemorrhoids with other complications,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#I841: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1549,461461,NA
397,ukb-b-4442,Ham intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,103080: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
404,ukb-b-2285,Diagnoses - main ICD10: H25.0 Senile incipient cataract,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#H250: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1061,461949,NA
406,ukb-b-9873,Diagnoses - main ICD10: N39.3 Stress incontinence,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#N393: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4340,458670,NA
416,ukb-d-30100_irnt,Mean platelet (thrombocyte) volume,350470,13586285,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
420,ukb-b-15272,Ever manic/hyper for 2 days,149144,9851867,2018,MRC-IEU,Ben Elsworth,4642: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8680,140464,NA
435,met-d-S_LDL_PL_pct,Phospholipids to total lipids ratio in small LDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
443,ukb-d-RHEU_ARTHRITIS_OTH,Other arthritis (FG),361194,9613046,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1212,359982,NA
447,ukb-b-7753,Yogurt intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,102090: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
451,ukb-b-14486,"Non-cancer illness code, self-reported: osteoarthritis",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1465: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,38472,424461,NA
454,ukb-d-COPD_EXCL,COPD differential diagnosis,361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,26710,334484,NA
464,ieu-a-832,Rheumatoid arthritis,58284,8747963,2014,NA,Okada Y,Effect allele frequencies are missing; forward strand build 37,public,1,Males and Females,24390342,1,European,log odds,HG19/GRCh37,Disease,Autoimmune / inflammatory,NA,14361,43923,NA
465,ukb-b-7337,Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport),460376,9851867,2018,MRC-IEU,Ben Elsworth,6164#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,329755,130621,NA
470,ukb-b-5394,Reported occurrences of cancer,73231,9851867,2018,MRC-IEU,Ben Elsworth,40009: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
476,ukb-b-520,Operative procedures - secondary OPCS: Z49.8 Specified skin of trunk NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z498: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1702,461308,NA
478,met-c-871,Phospholipids in IDL,21559,11871461,2016,NA,Kettunen,IDL.PL; ; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.58
502,ukb-b-7178,Doctor diagnosed hayfever or allergic rhinitis,112583,9851867,2018,MRC-IEU,Ben Elsworth,22126: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,25486,87097,NA
510,met-d-L_HDL_CE_pct,Cholesteryl esters to total lipids ratio in large HDL,111631,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
512,ukb-a-131,Treatment/medication code: atenolol,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,13184,323975,NA
526,ukb-b-2804,Diagnoses - main ICD10: S52.50 Fracture of lower end of radius (closed),463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#S5250: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2696,460314,NA
529,ebi-a-GCST90002311,Hemoglobin concentration,149861,15410015,2020,NA,Chen MH,NA,public,1,NA,32888493,0,East Asian,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
551,ukb-b-16174,Sources of admission to hospital (recoded): Transfer within NHS provider: Surgical specialty,461367,9851867,2018,MRC-IEU,Ben Elsworth,41251#6004: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1222,460145,NA
552,met-d-VLDL_P,Concentration of VLDL particles,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
556,ukb-a-129,Treatment/medication code: omeprazole,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,19668,317491,NA
568,ukb-b-20556,Operation code: brain surgery,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1467: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1910,461023,NA
570,ukb-b-4414,Bacon intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,103070: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
575,met-d-L_LDL_C_pct,Cholesterol to total lipids ratio in large LDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
584,ukb-b-18578,"Non-cancer illness code, self-reported: heart valve problem/heart murmur",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1078: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3162,459771,NA
588,ukb-b-2307,"Diagnoses - main ICD10: C50.9 Breast, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#C509: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,6277,456733,NA
590,ukb-b-13426,Treatment/medication code: irbesartan,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1141152998: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3273,459660,NA
593,ieu-a-1018,Subjective well being,197174,2264177,2016,SSGAC,Okbay,ALSPAC; TEDS and 23andMe excluded (ALSPAC=5649; 23andME=93454; TEDS=2143),public,1,Males and Females,27089181,3,European,SD,HG19/GRCh37,Risk factor,Psychiatric / neurological,NA,NA,NA,NA
594,ukb-a-435,Vascular/heart problems diagnosed by doctor: None of the above,336683,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,236530,100153,NA
607,ukb-b-5277,Baguette intake,64941,9851867,2018,MRC-IEU,Ben Elsworth,101020: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
625,met-d-XL_HDL_CE_pct,Cholesteryl esters to total lipids ratio in very large HDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
631,ukb-b-7551,Maximum workload during fitness test,68425,9851867,2018,MRC-IEU,Ben Elsworth,6032: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
647,ukb-b-4717,Corneal resistance factor (left),97465,9851867,2018,MRC-IEU,Ben Elsworth,5265: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
655,ukb-b-5550,PCT where patients GP was registered: SOUTH EAST SHEFFIELD PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5EQ: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2028,460982,NA
662,ukb-a-445,Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: Blood clot in the lung,336782,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,2788,333994,NA
666,ebi-a-GCST004131,Inflammatory bowel disease,59957,9619016,2017,NA,de Lange KM,NA,public,1,NA,28067908,0,Mixed,logOR,HG19/GRCh37,NA,NA,NA,25042,34915,NA
670,ukb-b-2426,Operative procedures - secondary OPCS: T43.9 Unspecified diagnostic endoscopic examination of peritoneum,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#T439: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2055,460955,NA
676,ukb-b-10937,Reason for glasses/contact lenses: For 'astigmatism',460536,9851867,2018,MRC-IEU,Ben Elsworth,6147#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,12513,448023,NA
680,ukb-d-22702_irnt,Home location - east co-ordinate (rounded),361187,13586583,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
683,ukb-a-421,Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia'),335700,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,29144,306556,NA
685,ukb-b-15768,Type of special diet followed: Low calorie,64949,9851867,2018,MRC-IEU,Ben Elsworth,20086#10: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,7794,57155,NA
687,ebi-a-GCST004621,Sum basophil neutrophil counts,170143,29164350,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
